Codi;;2019_1;2019_2;III
1;el Raval  ;822,56;866,97;
2;el Barri Gòtic  ;1.060,91;1.112,09;
3;la Barceloneta  ;891,33;924,05;
4;Sant Pere, Santa Caterina i la Ribera  ;990,18;1.010,14;
5;el Fort Pienc  ;957,24;988,66;
6;la Sagrada Família  ;936,35;942,89;
7;la Dreta de l'Eixample  ;1.269,12;1.277,90;
8;l'Antiga Esquerra de l'Eixample  ;1.122,98;1.139,78;
9;la Nova Esquerra de l'Eixample  ;1.008,49;1.032,85;
10;Sant Antoni  ;986,23;985,18;
11;el Poble Sec - AEI Parc Montjuïc  ;815,82;823,40;
12;la Marina del Prat Vermell - AEI Zona Franca  ;-;nd;
13;la Marina de Port  ;714,90;753,09;
14;la Font de la Guatlla  ;857,55;854,17;
15;Hostafrancs  ;809,96;824,16;
16;la Bordeta  ;844,11;859,52;
17;Sants - Badal  ;823,50;858,43;
18;Sants  ;872,99;867,48;
19;les Corts  ;1.070,03;1.085,12;
20;la Maternitat i Sant Ramon  ;938,49;972,98;
21;Pedralbes  ;1.732,46;1.746,71;
22;Vallvidrera, el Tibidabo i les Planes  ;1.103,50;1.121,55;
23;Sarrià  ;1.297,72;1.334,22;
24;les Tres Torres  ;1.645,90;1.602,49;
25;Sant Gervasi - la Bonanova  ;1.226,40;1.309,97;
26;Sant Gervasi - Galvany  ;1.357,86;1.360,34;
27;el Putxet i el Farró  ;1.057,06;1.115,71;
28;Vallcarca i els Penitents  ;907,51;1.028,92;
29;el Coll  ;750,57;819,85;
30;la Salut  ;883,37;899,19;
31;la Vila de Gràcia  ;933,43;951,19;
32;el Camp d'en Grassot i Gràcia Nova  ;937,29;978,25;
33;el Baix Guinardó  ;859,13;866,84;
34;Can Baró  ;791,25;764,54;
35;el Guinardó  ;789,83;824,99;
36;la Font d'en Fargues  ;796,50;1.044,04;
37;el Carmel  ;670,60;666,91;
38;la Teixonera  ;704,44;725,90;
39;Sant Genís dels Agudells  ;759,18;705,10;
40;Montbau  ;780,36;802,40;
41;la Vall d'Hebron  ;870,16;796,63;
42;la Clota  ;nd;nd;
43;Horta  ;777,00;760,58;
44;Vilapicina i la Torre Llobeta  ;758,50;773,75;
45;Porta  ;722,80;775,28;
46;el Turó de la Peira  ;685,25;702,39;
47;Can Peguera  ;nd;nd;
48;la Guineueta  ;751,03;723,13;
49;Canyelles  ;791,87;756,39;
50;les Roquetes  ;636,08;625,33;
51;Verdun  ;633,24;653,34;
52;la Prosperitat  ;677,41;673,67;
53;la Trinitat Nova  ;612,29;640,18;
54;Torre Baró  ;nd;nd;
55;Ciutat Meridiana  ;575,43;559,79;
56;Vallbona  ;nd;nd;
57;la Trinitat Vella  ;601,18;614,68;
58;Baró de Viver  ;-;nd;
59;el Bon Pastor  ;705,77;659,19;
60;Sant Andreu  ;795,26;800,90;
61;la Sagrera  ;807,63;807,53;
62;el Congrés i els Indians  ;772,34;782,66;
63;Navas  ;855,28;836,94;
64;el Camp de l'Arpa del Clot  ;845,25;844,25;
65;el Clot  ;828,78;829,44;
66;el Parc i la Llacuna del Poblenou  ;950,81;1.066,58;
67;la Vila Olímpica del Poblenou  ;1.304,04;1.444,62;
68;el Poblenou  ;952,55;996,65;
69;Diagonal Mar i el Front Marítim del Poblenou  ;1.231,19;1.388,11;
70;el Besòs i el Maresme  ;694,77;844,53;
71;Provençals del Poblenou  ;959,15;960,13;
72;Sant Martí de Provençals  ;840,16;844,06;
73;la Verneda i la Pau  ;764,62;798,10;
